SITE_ID,SITE_NAME,SITE_PERSONNEL,COUNTRY,LAT,LON,SITE_CLASSIFICATION,UPLAND_CLASS,IGBP,KOPPEN,ORIGINAL_DATA_SOURCE,FLUXNET-CH4_DATA_POLICY,YEAR_START,YEAR_END,UTC_OFFSET,SOIL_TEMP_PROBE_DEPTHS,MOSS_BROWN,MOSS_SPHAGNUM,AERENCHYMATOUS,ERI_SHRUB,TREE,DOM_VEG
US-Atq,Atqasuk,Donatella Zona,USA,70.4696,-157.4089,Wet tundra,,WET,ET,AmeriFlux,CCBY4.0,2013,2016,-9,,1,0,1,1,0,aerenchymatous
US-Beo,Barrow Environmental Observatory (BEO) tower,Donatella Zona,USA,71.2810,-156.6123,Wet tundra,,WET,ET,AmeriFlux,CCBY4.0,2013,2014,-8,,1,1,1,0,0,aerenchymatous
US-Bes,Barrow-Bes (Biocomplexity Experiment South tower),Donatella Zona,USA,71.2809,-156.5965,Wet tundra,,WET,ET,AmeriFlux,CCBY4.0,2013,2015,-8,,0,1,1,0,0,aerenchymatous
US-Bi1,Bouldin Island Alfalfa,Dennis Baldocchi,USA,38.0991538,-121.49933,Drained,Crop - alfalfa,CRO,Csa,AmeriFlux,CCBY4.0,2016,2018,-8,TS_1 = -0.02cm; TS_2 = -0.04cm; TS_3 = -0.08cm; TS_4 = -0.16cm; TS_5 = -0.32cm;,0,0,1,0,0,aerenchymatous
US-Bi2,Bouldin Island corn,Dennis Baldocchi,USA,38.1090,-121.5350,Drained,Crop - corn,CRO,Csa,AmeriFlux,CCBY4.0,2017,2018,-8,TS_1 = -0.02cm; TS_2 = -0.04cm; TS_3 = -0.08cm; TS_4 = -0.16cm; TS_5 = -0.32cm;,0,0,1,0,0,aerenchymatous
US-BZB,Bonanza Creek Thermokarst Bog,Eugenie Euskirchen,USA,64.695547,-148.320836,Bog,,WET,Dfd,AmeriFlux,CCBY4.0,2014,2016,-9,TS_1 = -0.075cm; TS_2 = -0.05cm;,0,1,1,1,0,eri_shrub
US-BZF,Bonanza Creek Rich Fen,Eugenie Euskirchen,USA,64.703733,-148.313333,Fen,,WET,Dfd,AmeriFlux,CCBY4.0,2014,2016,-9,TS_1 = -0.075cm; TS_2 = -0.05cm;,1,1,1,0,0,aerenchymatous
US-BZS,Bonanza Creek Black Spruce,Eugenie Euskirchen,USA,64.69635,-148.323525,Upland,Needleleaf forest,ENF,Dfd,AmeriFlux,CCBY4.0,2015,2016,-9,,1,0,0,0,1,tree
US-CRT,Curtice Walter-Berger cropland,"Jiquen Chen, Housen Chu",USA,41.628495,-83.347086,Upland,Crop - soy,CRO,Dfa,AmeriFlux,CCBY4.0,2011,2012,-5,,0,0,1,0,0,aerenchymatous
US-DPW,Disney Wilderness Preserve Wetland,"Charless Ross Hinkle, Rosvel Bracho, Scott Graham, Brian Benscoter",USA,28.05206,-81.43611,Marsh,,WET,Cwa,AmeriFlux,CCBY4.0,2013,2017,-5,,0,0,1,0,0,aerenchymatous
US-EDN,Eden Landing Ecological Reserve,Patty Oikawa,USA,37.61562,-122.1140,Salt marsh,,WET,Csa,AmeriFlux,CCBY4.0,2018,2018,-8,TS_1 = -0.25cm; TS_2 = -0.15cm; TS_3 = -0.05cm; TS_4 = 0cm; TS_5 = 0.05cm; TS_6 = 0.1cm; TS_7 = 0.2cm; TS_8 = 0.3cm;,0,0,1,0,0,aerenchymatous
US-EML,"Eight Mile Lake Permafrost thaw gradient, Healy Alaska.",Ted Schuur,USA,63.8784,-149.2536,Upland,Tundra,OSH,ET,AmeriFlux,CCBY4.0,2015,2018,-9,TS_1 = -0.05cm; TS_2 = -0.1cm; TS_3 = -0.2cm; TS_4 = -0.4cm;,1,0,1,1,0,aerenchymatous
US-Ho1,Howland Forest (main tower),"Andrew Richardson, David Hollinger",USA,45.2041,-68.7402,Upland,Needleleaf forest,ENF,Dfb,AmeriFlux,CCBY4.0,2012,2018,-5,TS_1 = -0.05cm; TS_2 = -0.1cm;,0,0,0,0,1,tree
US-HRA,Humnoke Farm Rice Field – Field A,Benjamin Runkle,USA,34.585208,-91.751735,Rice,,CRO,Cfa,AmeriFlux,CCBY4.0,2017,2017,-6,,0,0,1,0,0,aerenchymatous
US-HRC,Humnoke Farm Rice Field – Field C,Benjamin Runkle,USA,34.588830,-91.751658,Rice,,CRO,Cfa,AmeriFlux,CCBY4.0,2017,2017,-6,,0,0,1,0,0,aerenchymatous
US-ICs,Imnavait Creek Watershed Wet Sedge Tundra,Eugenie Euskirchen,USA,68.6058,-149.3110,Wet tundra,,WET,ET,AmeriFlux,CCBY4.0,2014,2016,-9,TS_1 = -0.075cm; TS_2 = -0.05cm;,0,0,1,1,0,aerenchymatous
US-Ivo,Ivotuk,Donatella Zona,USA,68.4865,-155.7503,Wet tundra,,WET,ET,AmeriFlux,CCBY4.0,2013,2016,-9,TS_1 = -0.05cm; TS_2 = -0.1cm; TS_3 = -0.15cm; TS_4 = -0.3cm; TS_5 = -0.4cm;,1,0,1,1,0,aerenchymatous
US-LA1,Pointe-aux-Chenes Brackish Marsh,Ken Krauss,USA,29.5013,-90.4449,Salt marsh,,WET,Cfa,AmeriFlux,CCBY4.0,2011,2012,-6,TS  = -0.1cm;,0,0,1,0,0,aerenchymatous
US-LA2,Salvador WMA Freshwater Marsh,Ken Krauss,USA,29.8587,-90.2869,Marsh,,WET,Cfa,AmeriFlux,CCBY4.0,2011,2013,-6,TS = -0.1cm;,0,0,1,0,0,aerenchymatous
US-Los,Lost Creek,Ankur Desai,USA,46.0827,-89.9792,Fen,,WET,Dfb,AmeriFlux,CCBY4.0,2014,2018,-6,TS_1 = 0cm; TS_2 = -0.05cm; TS_3 = -0.1cm; TS_4 = -0.2cm; TS_5 = -0.5cm;,0,0,1,1,1,eri_shrub
US-MAC,MacArthur Agro-Ecology,"Jed Sparks, Sam Chamberlain",USA,27.163200,-81.187302,Drained,Grassland,WET,Cwa,AmeriFlux,CCBY4.0,2013,2015,-5,,0,0,1,0,0,aerenchymatous
US-MRM,Marsh Resource Meadowlands Mitigation Bank,Karina Schäfer,USA,40.8164,-74.0435,Salt marsh,,WET,Cfa,AmeriFlux,CCBY4.0,2012,2013,5,,0,0,1,0,0,aerenchymatous
US-Myb,Mayberry Wetland,Dennis Baldocchi,USA,38.049861,-121.76498,Marsh,,WET,Csa,AmeriFlux,CCBY4.0,2010,2018,-8,TS_1 = -0.02cm; TS_2 = -0.04cm; TS_3 = -0.08cm; TS_4 = -0.16cm; TS_5 = -0.32cm;,0,0,1,0,0,aerenchymatous
US-NC4,NC_AlligatorRiver,Asko Noormets,USA,35.7879,-75.9038,Swamp,,WET,Cfa,AmeriFlux,CCBY4.0,2012,2016,-5,TS_1 = -0.05cm; TS_2 = -0.2cm;,0,0,1,0,1,aerenchymatous
US-NGB,NGEE Arctic Barrow,Margaret Torn,USA,71.280044,-156.609181,Wet tundra,,SNO,ET,AmeriFlux,CCBY4.0,2012,2018,-9,,0,1,1,0,0,moss_sphagnum
US-NGC,NGEE Arctic Council,Margaret Torn,USA,64.8614,-163.7008,Wet tundra,,GRA,ET,AmeriFlux,CCBY4.0,2017,2018,-9,,0,1,1,1,0,eri_shrub
US-ORv,Olentangy River Wetland Research Park,Gil Bohrer,USA,40.0201,-83.0183,Marsh,,WET,Cfa,AmeriFlux,CCBY4.0,2011,2015,-5,TS_1 = -0.08cm;,0,0,1,0,0,aerenchymatous
US-OWC,Old Woman Creek,Gil Bohrer,USA,41.37951667,-82.5124667,Marsh,,WET,Dfb,AmeriFlux,CCBY4.0,2015,2016,-5,TS_1 = -0.05cm; TS_2 = -0.3cm;,0,0,1,0,0,aerenchymatous
US-PFa,Park Falls/WLEF,Ankur Desai,USA,45.9459,-90.2723,Upland,Mixed forest,MF,Dfb,AmeriFlux,CCBY4.0,2010,2018,-6,,0,0,0,0,1,tree
US-Snd,Sherman Island,Dennis Baldocchi,USA,38.0373,-121.7537,Drained,Grassland,GRA,Csa,Ameriflux,CCBY4.0,2010,2015,-8,TS_1 = -0.08cm; TS_2 = -0.16cm; TS_3 = nancm; TS_4 = nancm; TS_5 = nancm; TS_6 = nancm;,0,0,1,0,0,aerenchymatous
US-Sne,Sherman Island Restored Wetland,Dennis Baldocchi,USA,38.0369,-121.7547,Marsh,,GRA,Csa,AmeriFlux,CCBY4.0,2016,2018,-8,TS_1 = -0.01cm; TS_2 = -0.02cm; TS_3 = -0.08cm; TS_4 = -0.16cm; TS_5 = -0.32cm;,0,0,1,0,0,aerenchymatous
US-Srr,Suisun marsh - Rush Ranch,Lisamarie Windham-Myers,USA,38.200556,-122.026358,Salt marsh,,WET,Csa,AmeriFlux,CCBY4.0,2014,2017,-8,,0,0,1,0,0,aerenchymatous
US-StJ,St Jones Reserve,Rodrigo Vargas,USA,39.08821106,-75.43722534,Salt marsh,,WET,Cfa,AmeriFlux,CCBY4.0,2016,2016,-5,TS_2 = -0.05cm; TS_3 = -0.1cm;,0,0,1,0,0,aerenchymatous
US-Tw1,Twitchell Wetland West Pond,Dennis Baldocchi,USA,38.1074,-121.6469,Marsh,,WET,Csa,AmeriFlux,CCBY4.0,2011,2018,-8,TS_1 = -0.02cm; TS_2 = -0.04cm; TS_3 = -0.08cm; TS_4 = -0.16cm; TS_5 = -0.32cm;,0,0,1,0,0,aerenchymatous
US-Tw3,Twitchell Alfalfa,Dennis Baldocchi,USA,38.1159,-121.6467,Drained,Crop - alfalfa,CRO,Csa,AmeriFlux,CCBY4.0,2013,2014,-8,TS_1 = -0.02cm; TS_2 = -0.04cm; TS_3 = -0.08cm; TS_4 = -0.16cm; TS_5 = -0.32cm;,0,0,1,0,0,aerenchymatous
US-Tw4,Twitchell East End Wetland,Dennis Baldocchi,USA,38.10274361,-121.6413286,Marsh,,WET,Csa,AmeriFlux,CCBY4.0,2013,2018,-8,TS_1 = -0.02cm; TS_2 = -0.04cm; TS_3 = -0.08cm; TS_4 = -0.16cm; TS_5 = -0.32cm;,0,0,1,0,0,aerenchymatous
US-Tw5,East Pond Wetland,Dennis Baldocchi,USA,38.107192,-121.642576,Marsh,,WET,Csa,AmeriFlux,CCBY4.0,2018,2018,-8,TS_1 = -0.02cm; TS_2 = -0.1cm; TS_3 = -0.02cm; TS_4 = -0.08cm; TS_5 = -0.16cm;,0,0,1,0,0,aerenchymatous
US-Twt,Twitchell Island,Dennis Baldocchi,USA,38.1087204,-121.65310,Rice,,CRO,Csa,AmeriFlux,CCBY4.0,2009,2017,-8,TS_1 = -0.02cm; TS_2 = -0.04cm; TS_3 = -0.08cm; TS_4 = -0.16cm; TS_5 = -0.32cm;,0,0,1,0,0,aerenchymatous
US-Uaf,"University of Alaska, Fairbanks",Masahito Ueyama,USA,64.86627,-147.85553,Bog,,ENF,Dwc,AmeriFlux,CCBY4.0,2011,2018,-9,TS_1 = -0.09cm; TS_2 = -0.183cm; TS_3 = -0.283cm; TS_4 = -0.367cm; TS_5 = -0.5cm; TS_6 = -0.6cm; TS_7 = -0.75cm; TS_8 = -0.925cm; TS_9 = -1cm;,1,1,1,1,1,moss_sphagnum
US-WPT,Winous Point North Marsh,"Jiquen Chen, Housen Chu",USA,41.464639,-82.996157,Marsh,,WET,Dfa,AmeriFlux,CCBY4.0,2011,2013,-5,TS_1 = -0.1cm; TS_2 = -0.3cm;,0,0,1,0,0,aerenchymatous
